s_sat,T_sat
-722.1597663435367,271.6253920223559
-573.9514355762178,295.5043395398572
-504.9608735695181,306.9384610088774
-457.9482629711485,314.8404745763327
-421.73365917565934,320.9866235435751
-392.02964559146415,326.06523981876586
-366.7119528559687,330.41993183861257
-344.5653808514394,334.2484277216152
-324.8262911451235,337.6755949118615
-306.9819611394666,340.78562767417543
-290.67098627335395,343.63809015992985
-275.62793676532533,346.2768785063059
-261.6524704583459,348.73522130461174
-248.58918707401978,351.03896442460723
-236.31505421162353,353.20862193236434
-224.73092009346198,355.2607646729563
-213.75548961741438,357.20901033210873
-203.3216619034174,359.0646188130792
-193.37290603431538,360.8370967810368
-183.86136829675021,362.5345057087655
-174.74612357838905,364.1637516522037
-165.9918758531534,365.73080052438735
-157.5679641776898,367.2408428373521
-149.4475750905168,368.6984245097369
-141.6071173415325,370.1075508516576
-134.02571948282903,371.47177023280307
-126.68482233429843,372.7942420405704
-119.56784552249242,374.0777923568512
-112.65991243810932,375.32495993700763
-105.94762169586166,376.5380344600093
-99.4188559303633,377.7190885660989
-93.06262080845931,378.8700048610812
-86.86890867738444,379.99249881246715
-80.82858243973823,381.0881382691985
-74.93327614108739,382.15836018879327
-69.17530945262084,383.2044850404368
-63.54761374402654,384.22772926808443
-58.043665902269495,385.229216483972
-52.657440106313864,386.2099855158437
-47.38334832352724,387.1710005980304
-42.21620396043262,388.1131574396686
-37.15118254044513,389.0372899010672
-32.18378830254883,389.9441756534912
-27.309824593454685,390.8345412000635
-22.525367545249456,391.70906634291634
-17.82674260855625,392.5683881687017
-13.210503575371112,393.4131046138644
-8.673413779889225,394.24377766202144
-4.212429209910593,395.06093621839625
0.17531670062979804,395.8650786998968
4.492526795941977,396.65667537415095
8.741752610637104,397.4361704763245
12.925405618402062,398.20398412873703
17.045767446252583,398.960514085055
21.10499916704838,399.7061373180746
25.10514976878721,400.4412114677264
29.048163887136756,401.1660761639081
32.935888877172715,401.8810542369847
36.770081291290396,402.58645282728344
40.552412822437894,403.28256440359024
44.28447576503011,403.9696676995163
47.96778804001544,404.6480285756036
51.60379782536789,405.31790081416773
55.193887828827656,405.9795268531221
58.73937923570381,406.6331384643505
62.24153536110661,407.27895738161544
65.70156503291469,407.91719588246764
69.12062572908198,408.5480573281711
72.49982649049032,409.1717366652463
75.8402317575813,409.78842109940587
79.14285958260254,410.3982897382029
82.40869014974194,411.0015151301763
85.63866402300927,411.5982629182504
88.83368513356913,412.1886923658711
91.99462268801017,412.77295668650567
95.12231295290574,413.35120335191846
98.217560925242,413.923574380859
101.28114189737867,414.49020660964106
104.3138029244978,415.051231945971
107.3162642017815,415.60677760726344
110.28922035791912,416.15696634457197
113.23334167103242,416.7019166531762
116.14926826953781,417.2417416853042
119.03764044695407,417.77655484989515
121.89905332103162,418.3064614065985
124.7340906187879,418.8315647090779
127.54331680025155,419.3519647365546
130.32727791266157,419.86775824212157
133.08650239728593,420.3790388928821
135.82150185206729,420.88589740246425
138.53277175293877,421.388421656399
141.2207921365267,421.8866968308289
143.88602824670832,422.3808055049723
146.52893114731808,422.8708277677359
149.1499383031258,423.3568413188427
151.7494741310677,423.8389215648144
154.32795052353586,424.3171417101204
156.885767345454,424.7915728437897
159.42331290668128,425.2622840217521
161.9409644112353,425.7293423451648
164.4390883846917,426.1928130349587
166.91804108102122,426.65275950282154
169.37816887006883,427.1092434188255
171.8198086067551,427.5623247758856
174.2432879830544,428.01206195123086
176.6489258636958,428.458511765051
179.03703260650377,428.9017295364776
181.4079103681996,429.3417691370409
183.7618533964775,429.778683041743
186.0991483090782,430.21252237787246
188.4200743605514,430.6433369716793
190.72490369737253,431.0711753930259
193.0139016020033,431.4960849981156
195.28732672649224,431.9181119704017
197.54543131612212,432.3373013597649
