s_sat,T_sat
-708.7294795032202,272.85885127163607
-695.7774718393414,276.04201562384867
-684.1551065468851,278.9127989851329
-673.5926632009787,281.53330879780714
-663.8964525581043,283.94835360373656
-654.9224511347504,286.1913920503264
-646.5604981203256,288.2881137857157
-638.7244230084975,290.25868301810266
-631.3453828369747,292.1192621943711
-624.3675488144315,293.8829969326996
-617.7449590612853,295.56073976549897
-611.439296605303,297.1615618443828
-605.4182896965755,298.6931216373321
-599.6544490190704,300.1619582865349
-594.1241903328191,301.57369415649987
-588.8071196144424,302.9332011074603
-583.6854451337719,304.2447382212985
-578.7435952330147,305.51203977247917
-573.9678192721826,306.73840962951033
-569.3459296983046,307.92678115322013
-564.867067468611,309.0797723450212
-560.5215134369938,310.199730179143
-556.3005322802799,311.28876734478683
-552.196242428012,312.34879291336114
-548.201515453107,313.3815359027855
-544.3098553795003,314.3885744471133
-540.5153575509834,315.37134473154026
-536.8126200825362,316.33116245225756
-533.19669147956,317.26923514945275
-529.6630212855064,318.18667393849864
-526.2074173562397,319.08450367832074
-522.826008716555,319.96367182171974
-519.5152125455415,320.82505630325954
-516.2717079674386,321.6694717539475
-513.0924080519019,322.4976762560052
-509.97443967021553,323.3103761268473
-506.91512357007025,324.1082307012839
-503.9119570800888,324.8918564793635
-500.96259871513104,325.6618308220223
-498.0648544359158,326.41869525279003
-495.2166653531435,327.16295841519155
-492.41609669676353,327.8950987283112
-489.66132789661026,328.6155667769689
-486.95064364204063,329.3247874679065
-484.2824258063253,330.0231619791125
-481.65514613684127,330.71106952579686
-479.067359625117,331.3888689634596
-476.5176984818861,332.0569002458674
-474.00486665174185,332.71548575351983
-471.5276348101588,333.3649315062502
-469.0848357925895,334.00552827196157
-466.6753604114113,334.63755258205657
-464.29815362168,335.2612676628921
-461.9522110012004,335.8769242915054
-459.6365755143236,336.4847615829336
-457.3503345323374,337.08500771562274
-455.0926170862758,337.67788060072206
-452.8625913306464,338.26358850041714
-450.65946219879,338.8423305999318
-448.48246923271773,339.41429753731825
-446.33088228954773,339.97967249454416
-444.2040086621456,340.5386292921127
-442.10117808185475,341.0913362984118
-440.0217498052238,341.63795453856824
-437.9651089747982,342.17863862387895
-435.9306652208637,342.71353709445987
-433.91785101608014,343.2427928279171
-431.92612176527444,343.7665429974657
-429.95495278413273,344.2849198419585
-428.00383944112747,344.79805061303614
-426.0722958698678,345.3060578958874
-424.1598540345482,345.80905983906615
-422.2660628533457,346.3071703701785
-420.3904873754709,346.80049939847936
-418.5327080079565,347.2891530053273
-416.69231978861245,347.77323362336443
-414.86893170184146,348.2528402052212
-413.06216603432085,348.7280683824748
-411.27165776776934,349.19901061553605
-409.4970540062539,349.6657563350811
-407.73801343569505,350.12839207560035
-405.99420581340917,350.5870016015872
-404.26531148569234,351.04166602685336
-402.5510209316155,351.49246392741725
-400.8510343313217,351.939471448379
-399.1650611572582,352.38276240516734
-397.49281978688924,352.82240837950945
-395.8340371355394,353.2584788104557
-394.18844830812134,353.69104108076186
-392.55579626857855,354.1201605989145
-390.93583152598416,354.5459008770588
-389.32831183626683,354.96832360507887
-387.7330019186611,355.3874887210525
-386.1496731859978,355.80345447829626
-384.57810348802656,356.2162775091981
-383.01807686702875,356.6260128860194
-381.4693833249998,357.03271417884247
-379.9318186017702,357.43643351081965
-378.4051839634207,357.83722161087917
-376.88928600045097,358.2351278640232
-375.38393643513757,358.63020035935415
-373.8889519375988,359.02248593594925
-372.40415395008887,359.41203022669964
-370.92936851908,359.7988777002226
-369.46442613471805,360.1830717009489
-368.0091615772707,360.5646544874785
-366.563413770197,360.9436672692967
-365.12702563950023,361.3201502419325
-363.69984397903943,361.6941426206404
-362.28171932150235,362.0656826726779
-360.8725058147437,362.43480774825196
-359.47206110324237,362.8015543101954
-358.08024621439546,363.1659579624417
-356.69692544944127,363.52805347735114
-355.32196627875976,363.88787482194783
-353.95523924136546,364.2454551831166
-352.5966178483663,364.6008269918118
-351.24597849022086,364.9540219463232
-349.90320034760356,365.30507103464237
-348.5681653057136,365.6540045559733
-347.240757871866,366.00085214142473
-345.9208650962214,366.3456427739216
-344.60837649549353,366.68840480737356
-343.30318397952476,367.02916598512894
-342.0051817805773,367.36795345775215
-340.71426638523735,367.7047938001483
-339.43033625210904,368.03971308335343
-338.153292595922,368.3727366742318
-336.883038083745,368.7038895679946
-335.6194775867091,369.03319619612824
-334.36251792503685,369.3606804912867
-333.11206781334795,369.6863659010688
-331.86803780788955,370.01027540131685
-330.63034025557954,370.33243150895834
-329.3988892448222,370.652856294408
-328.1736005579943,370.97157139354823
-326.9543916255545,371.28859801930577
-325.7411814816898,371.6039569728414
-324.53389072145654,371.917668654367
-323.33244145933844,372.2297530736057
-322.13675728917985,372.5402298599088
-320.9467632454264,372.8491182720435
-319.76238648618755,373.15643702073044
-318.58355333910714,373.4622050348522
-317.41019369790956,373.76644032041986
-316.2422379963577,374.06916074559996
-315.0796179330054,374.3703838524025
-313.9222664393159,374.67012686474243
-312.7701176487759,374.96840669625124
-311.6231068669654,375.26523995784703
-310.48117054255823,375.5606429650719
-309.3442462392026,375.85463174520703
-308.2122726082657,376.14722204417006
-307.08518936239847,376.43842933320735
-305.9629372498951,376.7282688153839
-304.84545802982257,377.0167554318815
-303.73269444788053,377.3039038681109
-302.62459021297997,377.5897285596439
-301.5210899745056,377.8742436979728
-300.422139300239,378.1574632361026
-299.3276846549215,378.4394008939823
-298.23767337943485,378.7200701637799
-297.15205367057376,378.999484315008
-296.07077456139564,379.27765639950377
-294.99378590212166,379.55459925626894
-293.9210383415771,379.8303255161743
-292.85248330914715,380.1048476065328
-291.7880729972316,380.37817775554754
-290.7277603441839,380.65032799663584
-289.6714990177158,380.92131017263677
-288.6192433987591,381.191135939902
-287.5709485657506,381.4598167722793
-286.52657027935766,381.7273639649851
-285.4860649675928,381.99378863837757
-284.44938971133934,382.2591017416259
-283.41650223024754,382.5233140562852
-282.3873608690092,382.7864361997758
-281.36192458398386,383.04847862877233
-280.3401529301747,383.3094516425048
-279.32200604854165,383.5693653859738
-278.30744465363404,383.8282298530834
-277.2964300215454,384.0860548896935
-276.28892397816514,384.34285019659586
-275.2848888877337,384.5986253324123
-274.28428764167893,384.8533897164227
-273.28708364773,385.10715263132033
-272.29324081930474,385.3599232258989
-271.30272356515206,385.61171051767406
-270.3154967792521,385.8625233954386
-269.33152583095665,386.1123706217566
-268.35077655537606,386.3612608353952
-267.37321524398527,386.6092025536989
-266.39880863546375,386.856204174905
-265.4275239067458,387.10227398040496
-264.4593286642887,387.34742013694984
-263.49419093553746,387.59165069880515
-262.53207916059347,387.83497360985365
-261.57296218407646,388.07739670564825
-260.61680924716967,388.318927715418
-259.6635899798502,388.55957426402637
-258.713274393295,388.79934387388437
-257.765832872458,389.03824396681915
-256.8212361688133,389.27628186590084
-255.8794553932625,389.51346479722565
-254.94046200919752,389.74979989165996
-254.00422782571778,389.98529418654414
-253.07072499098763,390.219954627359
-252.13992598575697,390.4537880693526
-251.2118036170007,390.6868012791334
-250.28633101170803,390.9190009362261
-249.36348161079974,391.15039363459374
-248.44322916317697,391.3809858841263
-247.52554771989102,391.6107841120966
-246.6104116284373,391.8397946645846
-245.6977955271716,392.06802380787
-244.78767433983523,392.29547772979566
-243.88002327019436,392.5221625411017
-242.97481779679333,392.74808427672934
-242.0720336678044,392.9732488970999
-241.17164689599176,393.1976622893637
-240.27363375376828,393.42133026862393
-239.37797076834937,393.64425857913534
-238.48463471700995,393.86645289547636
-237.59360244990907,394.08791886414826
-236.70485156641337,394.3086619449974
-235.81835940290367,394.5286876487498
-234.93410369125803,394.74800138251726
-234.05206239101636,394.96660848924364
-233.17221368515487,395.1845142487387
-232.29453597593226,395.40172387869234
-231.4190078808193,395.61824253566795
-230.54560822850038,395.834075316075
-229.6743160549451,396.0492272571231
-228.80511059955447,396.26370333775674
-227.93797130137295,396.47750847957064
-227.07287779537074,396.69064754770795
