s_sat,T_sat
-1279.84853140604,272.79586320167624
-1238.0201783780155,278.21253093027707
-1203.0600565769487,282.7634471221554
-1172.867780766405,286.7102293272351
-1146.194732128354,290.20915241003615
-1122.2349748799586,293.36149314129705
-1100.4363345722195,296.2368816693774
-1080.4031702463078,298.8853613734258
-1061.841736771891,301.34418869944466
-1044.5276433780484,303.6418939007175
-1028.2853911342474,305.8008410991199
-1012.9749857927715,307.83890692546396
-998.4828624689085,309.77062089672637
-984.7155504382467,311.6079630351184
-971.5952123442024,313.3609259548672
-959.0561331842365,315.03795985611924
-947.0424760843426,316.6462549057629
-935.5062840074959,318.1919953158669
-924.4060608837315,319.68053924325216
-913.7056532459019,321.1165608502373
-903.3733513141563,322.5041647388708
-893.3811843950605,323.8469756704908
-883.7043467383739,325.14821179494305
-874.3207311239969,326.4107441985387
-865.2105459313431,327.6371458452875
-856.3559982986621,328.8297321124751
-847.7410120734664,329.9905970313788
-839.3510714280617,331.121632904707
-831.1729448013359,332.2245662983764
-823.1945807469583,333.30097107080616
-815.4049598051746,334.3522874885895
-807.7939782603521,335.3798371781908
-800.3523479454878,336.38483602385594
-793.0715094937428,337.3684053431401
-785.9435569171904,338.33158161047004
-778.961171774197,339.2753249506912
-772.1175654913933,340.20052658580437
-765.4064275695035,341.10801553263684
-758.8218848204515,341.9985638512505
-752.3584562650308,342.87289250926176
-746.0110214037086,343.7316754712732
-739.7747881321781,344.5755438589848
-733.6452648126915,345.40508957106766
-727.6182352777147,346.2208685249026
-721.6897364020485,347.02340356690934
-715.8560379314222,347.81318709155653
-710.1136242990278,348.5906834035752
-704.4591781981551,349.3563308532013
-698.8895657101921,350.11054377028165
-693.401822813547,350.8537142197086
-687.9931431216253,351.5862135977509
-682.6608667171248,352.30839408639065
-677.4024699664787,353.0205899806507
-672.2155562123544,353.7231189020854
-667.0978472544671,354.41628291002064
-662.0471755394054,355.1003695207859
-657.061476989486,355.77565264398226
-652.1387844084834,356.44239344382066
-647.2772214091672,357.10084113265395
-642.4749968135516,357.7512337030546
-637.7303994821332,358.39379860409844
-633.0417935330454,359.02875336691505
-628.407613916183,359.6563061840323
-623.8263623109099,360.2766564465825
-619.2966033192483,360.8899952430152
-614.8169609291854,361.49650582260654
-610.3861152253126,362.0963640267216
-606.0027993261804,362.6897386905066
-601.6657965297873,363.2767920174249
-597.3739376503142,363.8576799288286
-593.1260985308904,364.43255239054645
-588.9211977184835,365.0015537182939
-584.7581942883402,365.56482286354105
-580.6360858027778,366.1224936818361
-576.5539056206507,366.6746952886146
-572.5107241428708,367.22155188754664
-568.505642727703,367.7631835823727
-564.5377949442038,368.29970620480196
-560.6063444008192,368.83123160211335
-556.7104833460594,369.35786782146243
-552.849431350478,369.87971928353596
-549.022434064317,370.3968869462882
-545.2287620456411,370.90946845943614
-541.4677096541618,371.4175583103391
-537.7385940063807,371.9212479618334
-534.0407539879791,372.42062598255546
-530.3735493197022,372.91577817024165
-526.7363596732934,373.4067876684564
-523.128583834252,373.8937350771698
-519.5496389084803,374.37669855756974
-515.9989595700292,374.8557539314707
-512.4759973474415,375.3309747756497
-508.9802199463003,375.80243251142133
-505.5111106057771,376.27019648973953
-502.06816748717665,376.7343340720903
