s_sat,T_sat
-1608.4176017617308,258.62665217341794
-1526.737028919964,265.9172476396427
-1465.4212822907743,271.4394450721494
-1415.8350240015816,275.93496655759327
-1373.9440507521451,279.752811866363
-1337.5191734594623,283.0869012642791
-1305.1931179297385,286.05671403682857
-1276.0632922016882,288.7414287032763
-1249.5015485189651,291.19633237605456
-1225.0514890488516,293.4617176829787
-1202.371173620752,295.56785246686775
-1181.197207150404,297.538109174385
-1161.3220088083326,299.3909497745545
-1142.5799537210783,301.1411315268161
-1124.8347430541662,302.80082753222547
-1107.974523288707,304.3800425908639
-1091.9056759123239,305.8871648709496
-1076.5489742658508,307.3293047312923
-1061.836837645812,308.71253640920565
-1047.711111756586,310.04209437491306
-1034.1213726724675,311.3225234796854
-1021.0236748257544,312.5577895051009
-1008.3792595322019,313.7513951150458
-996.1540062975367,314.9064270162601
-984.3175822192443,316.02563252699696
-972.8429213584947,317.11146575855145
-961.705766076874,318.1661285120315
-950.8842836660431,319.19160451301326
-940.3587593131751,320.1896867886253
-930.1113149723817,321.16200288189106
-920.1256921147137,322.11003425617054
-910.3870578180855,323.0351336781897
-900.8818406526735,323.9385399347872
-891.5975896910446,324.8213904866577
-882.5228528223943,325.68473239851437
-873.6470712692839,326.5295318214375
-864.9604877733434,327.35668225284974
-856.4540663682902,328.1670117594862
-848.1194220204778,328.9612893166187
-839.9487587087914,329.7402303909027
-831.9347919443053,330.5045040487028
-824.0707870277255,331.25472906093614
-816.3503923203123,331.99148958734816
-808.7676795293461,332.7153311451529
-801.3170907075586,333.42676549532416
-793.9934075928638,334.12627341790727
-786.7917240814795,334.8143072052155
-779.7074214559844,335.49129290683715
-772.7361460422849,336.15763235569585
-765.8737890137575,336.8137050004512
-759.1164680983525,337.45986956616906
-752.4605109763924,338.09646556233383
-745.9024401839586,338.7238146548429
-739.4389575763668,339.3422220863884
-733.0669385042561,339.95197717772965
-726.7834108003242,340.5533552804287
-720.5855503056647,341.1466181592159
-714.4706698018465,341.7320150063058
-708.4362101620002,342.30978324803596
-702.4797322112034,342.88014928720156
-696.5989092286517,343.4433291871789
-690.7915200315069,343.99952930326515
-685.0554425868228,344.548946866078
-679.3886481036174,345.0917705213436
-673.7891955622167,345.62818082995506
-668.2552266423702,346.15835073177817
-662.7849610155869,346.68244597633554
-657.3766919705648,347.20062552318507
-652.0287823436817,347.71304191453163
-646.7396607292505,348.21984162236583
-641.5078179465977,348.7211653722064
-636.3318037432989,349.21714844532397
-631.2102237157434,349.70792096115036
-626.1417364299665,350.19360814142476
-621.1250507272462,350.6743305574827
-616.1589232003314,351.1502043619716
-611.2421558274195,351.6213415061638
-606.3735937521469,352.0878499439334
-601.5521231988278,352.54983382337485
-596.7766695131418,353.0073936669565
-592.0461953192425,353.46062654102826
-587.3596987850705,353.9096262154331
-582.7162119882544,354.35448331391456
-578.1147993756625,354.79528545595235
-573.5545563102093,355.2321173906097
-569.0346076989925,355.66506112293104
-564.5541066973435,356.09419603338443
-560.1122334837792,356.51959899080623
-555.7081941012233,356.9413444592703
-551.3412193601971,357.3595045992734
-547.0105638000439,357.7741493635975
-542.7155047045202,358.1853465881823
-538.455341168333,358.5931620783222
-534.2293932114862,358.99765969047166
-530.0370009385226,359.3989014099286
-525.8775237399159,359.79694742464415
-521.7503395330955,360.19185619538996
-517.6548440407715,360.5836845224967
-513.5904501043375,360.9724876093667
-509.5565860450807,361.3583192161376
-505.55269886069857,361.7412313560373
-501.57824807687854,362.1212748758419
-497.63270877699506,362.49849916810626
-493.7155701898899,362.8729523037124
-489.8263351754704,363.24468107953123
-485.9645197337,363.61373106393046
-482.1296525356544,363.9801466402475
-478.3212744755006,364.34397104833374
-474.5389382422609,364.7052464242755
-470.78220791030566,365.0640138383853
-467.05065854763,365.4203133315543
-463.3438758409414,365.7741839500522
-459.66145573674777,366.1256637788503
-456.0030040975738,366.47478997354796
-452.368136372596,366.821598790967
-448.7564772819086,367.16612561848683
-445.1676605138281,367.50840500217504
-441.60132843449907,367.84847067378064
-438.0571318092804,368.1863555766385
-434.534729535286,368.522091890542
-431.033788384572,368.8557110556308
-427.55398275746126,369.18724379534115
-424.09499444551216,369.51672013846314
-420.65651240368766,369.8441694403467
-417.23823253130394,370.16962040329497
-413.8398574613367,370.49310109618244
-410.46109635771177,370.81463897333504
-407.1016647202251,371.13426089270234
-403.7612841967326,371.4519931333564
-400.43968240228827,371.76786141234606
-397.1365927449384,372.08189090093526
-393.85175425784695,372.3941062402523
-390.5849114375114,372.7045315563761
-387.33581408776934,373.01319047488363
-384.10421716938663,373.3201061348805
-380.88988065493993,373.6253012025394
-377.69256938881273,373.9287978841636
-374.51205295206597,374.2306179387986
-371.34810553197156,374.53078269040986
-368.2005057960552,374.8293130396419
-365.06903677040657,375.12622947518054
-361.95348572212606,375.4215520847314
-358.85364404571936,375.71530056563006
-355.7693071532829,376.007494235101
-352.70027436833476,376.2981520401766
-349.64634882314203,376.58729256729123
-346.6073373593932,376.8749340515638
-343.5830504321076,377.1610943857792
-340.5733020166444,377.4457911290813
-337.5779095186852,377.72904151538836
-334.5966936870765,378.0108624615432
-331.62947852943654,378.29127057520446
-328.67609123040745,378.57028216249284
-325.7363620724511,378.8479132353987
-322.8101243591116,379.12417951896106
-319.89721434062625,379.39909645822684
-316.99747114181577,379.6726792249974
-314.1107366921722,379.94494272437083
-311.23685565804044,380.2159016010879
-308.37567537685766,380.4855702456869
-305.5270457933207,380.7539628004775
-302.6908193974799,381.0210931653354
-299.8668511646174,381.28697500333016
-297.05499849691984,381.55162174618533
-294.2551211668071,381.81504659958375
-291.4670812619374,382.07726254831607
-288.69074313174826,382.33828236128596
-285.92597333556427,382.5981185963689
-283.17264059214114,382.8567836051358
-280.4306157306499,383.1142895374429
-277.69977164302804,383.370648345893
-274.9799832376507,383.62587179017333
-272.2711273942947,383.8799714412726
-269.5730829203338,384.1329586855822
-266.88573050812164,384.3848447288867
-264.2089526935548,384.63564060024345
-261.54263381573105,384.8853571557591
-258.8866599777024,385.13400508226414
-256.24091829674956,385.3815949655999
-253.60529966226414,385.6281370398493
-250.97969715225707,385.873641325058
-248.3639982399867,386.1181183626078
-245.75810004835162,386.3615777872367
-243.16189849575602,386.60402934204103
-240.57529101730077,386.84548262398226
-237.99817653312596,387.08594708684876
-235.43045541743882,387.3254320441529
-232.87202946834407,387.5639466719523
-230.3228018784478,387.8015000115993
-227.78267720617188,388.03810097242206
-225.25156134781628,388.273758334337
-222.72936151028034,388.5084807503973
-220.21598618446333,388.7422767492786
-217.71134511932743,388.9751547377019
-215.21534929657926,389.20712300279826
-212.7279109059553,389.43818971441556
-210.24894332112513,389.66836292736855
-207.7783610761498,389.8976505836353
-205.31607984249237,390.12606051450126
-202.86201640660596,390.35360044264985
-200.41608864800045,390.58027798420665
-197.97821551786294,390.8061006507317
-195.54831701814362,391.03107585116777
-193.12631418114057,391.2552108937409
-190.71212904955075,391.47851298781757
-188.3056846569611,391.7009892457187
-185.90690500880154,391.92264668449144
-183.5157150637161,392.1434922276402
-181.1320407153467,392.3635327068184
-178.75580877453265,392.5827748634817
-176.38694695189452,392.80122535050293
