s_sat,T_sat,p_sat,h_sat,d_sat
-991.5430267279753,208.24933057010702,1000.0,-288131.7298897324,1471.7512373004313
-855.1146462901855,238.17541191031486,8114.6813627254505,-257703.46465545413,1422.955929908414
-807.1416009321489,249.26619286748232,15229.362725450901,-246007.9843249979,1402.7593228612848
-775.9220588108916,256.6321794133286,22344.04408817635,-238106.53620704048,1388.6325806017865
-752.3536727561637,262.2673175240115,29458.725450901802,-231986.94414757003,1377.4153132905192
-733.2411042628238,266.8824872938014,36573.406813627254,-226925.31829171392,1367.9503497710527
-717.0693326462144,270.8183433649168,43688.0881763527,-222572.5232188683,1359.672581233687
-702.9943603469279,274.26623633203593,50802.76953907815,-218731.4268275082,1352.2597462686913
-690.495571828044,277.3450038947163,57917.450901803604,-215279.06910833128,1345.5091704299734
-679.2279423111515,280.13386293381257,65032.13226452906,-212133.17264777547,1339.2842519141886
-668.9506110901551,282.68839426460175,72146.81362725451,-209235.8168524596,1333.4882231323188
-659.4884090836819,285.04920228981985,79261.49498997995,-206544.5599000705,1328.0497729638553
-650.7097775809793,287.2469062613162,86376.1763527054,-204027.3089294087,1322.9147011978582
-642.51326380258,289.3052059694294,93490.85771543086,-201659.16035995667,1318.040749561524
-634.8189373381205,291.24283638923856,100605.5390781563,-199420.38202235228,1313.394291748091
-627.5625985413132,293.0748930737203,107720.22044088176,-197295.03925694356,1308.9480595373498
-620.6919058692807,294.8137189399968,114834.90180360721,-195270.07670727852,1304.6796291201147
-614.1635817305705,296.46954734641747,121949.58316633265,-193334.64934661306,1300.5703067250345
-607.9414132975464,298.05096306922115,129064.26452905811,-191479.6425850497,1296.6043285818903
-601.9947612624776,299.5652474427601,136178.94589178357,-189697.31175397054,1292.7682554339785
-596.2975491483642,301.01861033503747,143293.62725450902,-187981.04310659482,1289.0505855167721
-590.827222495541,302.416436325978,150408.30861723446,-186325.08963106788,1285.4412819286758
-585.5642873597927,303.7633878770223,157522.9899799599,-184724.46937938113,1281.9316282433053
-580.4917153811709,305.0635458564606,164637.67134268535,-183174.81534468973,1278.5139631573975
-575.594539113634,306.3205040798193,171752.3527054108,-181672.276165035,1275.181512169145
-570.8595357480036,307.5374431468039,178867.03406813627,-180213.43878578232,1271.9282575251411
-566.2749615987337,308.71719274816024,185981.71543086172,-178795.26278006585,1268.7488260592877
-561.8303368196894,309.8622822386635,193096.39679358716,-177415.02702751925,1265.6383981609843
-557.5162681609074,310.9749823415968,200211.0781563126,-176070.28569332857,1262.592632462533
-553.3243019461935,312.0573397965503,207325.75951903805,-174758.83161574666,1259.607603074184
-549.2468012696854,313.11120634328387,214440.44088176353,-173478.665646266,1256.6797469214005
-545.2768551442803,314.1382599172317,221555.12224448897,-172227.974719557,1253.8058282821894
-541.4081489007705,315.14003625661564,228669.80360721442,-171005.09662349956,1250.9828703982328
-537.6349453250338,316.1179321740416,235784.48496993986,-169808.51876605046,1248.208163264493
-533.9519883189816,317.07322911965707,242899.1663326653,-168636.85183803298,1245.479212238633
-530.3544557292312,318.007104235777,250013.84769539078,-167488.81835535585,1242.793719485736
-526.8379122470654,318.92064156336653,257128.52905811623,-166363.24073612498,1240.1495632822537
-523.3982685745149,319.8148417693552,264243.21042084164,-165259.03094245226,1237.5447800074057
-520.0317453084334,320.6906307718994,271357.89178356715,-164175.18126264744,1234.977547969189
-516.7348439611931,321.54886661734344,278472.5731462926,-163110.75706763146,1232.446175218642
-513.5043168348219,322.3903467390068,285587.25450901804,-162064.88893657594,1229.949085186195
-510.33714482191175,323.21581323411516,292701.9358717435,-161036.76709618996,1227.4848073311555
-507.23051581628965,324.0259580434984,299816.6172344689,-160025.6358648856,1225.0519673243793
-504.1818059570233,324.82142744913267,306931.29859719437,-159030.78884043585,1222.6492786083406
-501.1885629653074,325.6028260738463,314045.9799599198,-158051.5646171402,1220.2755348758199
-498.24849129879937,326.3707204482822,321160.66132264526,-157087.3429635942,1217.9296033487126
-495.35943888949674,327.1256422004439,328275.3426853707,-156137.54140245018,1215.610418756018
-492.5193852657536,327.8680909150413,335390.02404809615,-155201.61214212317,1213.3169779247344
-489.7264308878077,328.59853670307444,342504.7054108216,-154279.03931754827,1211.048334909627
-486.97878755031087,329.3174225164049,349619.3867735471,-153369.33650310087,1208.8035965980876
-484.2747697256731,330.02516623727905,356734.06813627254,-152472.0444658625,1206.5819187350744
-481.61278673913125,330.72216256872275,363848.749498998,-151586.72913168021,1204.3825023203685
-478.99133568100416,331.40878474829236,370963.43086172343,-150712.97974011154,1202.2045903367118
-476.40899497392746,332.08538610475017,378078.1122244489,-149850.4071674337,1200.0474647726646
-473.86441852340363,332.75230147473536,385192.7935871743,-148998.6423995403,1197.9104439085995
-471.35633038900653,333.4098484943714,392307.47494989977,-148157.33513881222,1195.7928798381463
-468.8835199213375,334.0583287789077,399422.1563126252,-147326.15253099718,1193.6941562007582
-466.44483731647745,334.69802900192116,406536.83767535066,-146504.7779998095,1191.6136861039847
-464.0391895454303,335.32922188423174,413651.5190380761,-145692.91017841292,1189.5509102165274
-461.66553662105355,335.95216710150464,420766.2004008016,-144890.2619282065,1187.5052950153608
-459.32288816926314,336.5671121184846,427880.88176352705,-144096.5594364262,1185.476331172054
-457.01030027509313,337.1742929569105,434995.5631262525,-143311.54138502872,1183.4635320651296
-454.72687257744195,337.77393490338096,442110.24448897794,-142534.95818415235,1181.4664324067016
-452.4717455892342,338.36625316275155,449224.9258517034,-141766.57126418233,1179.4845869729177
-450.24409822220525,338.9514534620557,456339.60721442883,-141006.15242107885,1177.517569428836
-448.0431433297949,339.52973317905713,463454.2885771543,-140253.4824681415,1175.5649693115217
-445.8681341138168,340.1012796198167,470568.9699398797,-139508.35359105334,1173.6263985919056
-443.71834958882584,340.6662738018899,477683.65130260517,-138770.56452769367,1171.7014795853531
