s_sat,T_sat,p_sat,h_sat,d_sat
-1718.7837913891428,218.21565964523475,1000.0,-525362.7596143428,706.8314950619998
-1462.0123445304735,249.60570587593418,7611.523046092185,-465329.37346308853,683.8114304982491
-1367.8273726411048,261.5106846407866,14223.04609218437,-441252.2561403998,674.1159811805852
-1305.827295820931,269.447903993049,20834.569138276554,-424783.642831277,667.3206562128014
-1258.6860718933897,275.5323992856607,27446.09218436874,-411928.79440910707,661.9204168890486
-1220.2569076398577,280.52223344130965,34057.61523046093,-401234.8757997251,657.3619104216519
-1187.6051161761122,284.78187448551444,40669.13827655311,-391996.0663289703,653.3741894960187
-1159.088429404258,288.51638506825253,47280.66132264529,-383811.9552623162,649.802585235568
-1133.6900509460384,291.8532901018295,53892.18436873748,-376431.81114230456,646.5497399757182
-1110.7339832955583,294.8776930730807,60503.70741482967,-369687.29498489335,643.5499865518638
-1089.7471155313315,297.6493496850646,67115.23046092186,-363459.584915808,640.756789588922
-1070.3846029157507,300.2119415094587,73726.75350701403,-357661.40823798376,638.1358460650798
-1052.3868625559805,302.59843593717056,80338.27655310622,-352226.6114495278,635.6610675693407
-1035.553386544268,304.83435788391387,86949.7995991984,-347103.7723928791,633.3121142598354
-1019.7259174985189,306.93989717965104,93561.32264529058,-342252.0685349238,631.0727944996747
-1004.7771787244964,308.9313238702548,100172.84569138277,-337638.4891366884,628.9299804830231
-990.6032248500709,310.82195011983896,106784.36873747496,-333235.93841003947,626.8728706031853
-977.1180424574858,312.62281040059503,113395.89178356715,-329021.8906143447,624.8924655245038
-964.2494987112913,314.3431738507471,120007.41482965933,-324977.3670566078,622.9811651100325
-951.9365801336094,315.99089246164874,126618.93787575151,-321086.2493389927,621.1325026271734
-940.1271385707989,317.5726870526843,133230.4609218437,-317334.70524707076,619.3409175580739
-928.7762408119789,319.09435649648975,139841.98396793587,-313710.7708031463,617.6015915150859
-917.8448851829837,320.56094067512,146453.50701402806,-310204.02382620185,615.9103197832949
-907.29898237156,321.97685013569844,153065.03006012025,-306805.3230371546,614.2634081381991
-897.1085564838338,323.3459677883662,159676.55310621244,-303506.6034897739,612.6575920986676
-887.2470996400009,324.6717311853669,166288.07615230462,-300300.7105207509,611.0899711605166
-877.691049883815,325.9571991498211,172899.5991983968,-297181.26506283943,609.5579553953346
-868.4193644775618,327.2051062903416,179511.122244489,-294142.5532428381,608.0592216163791
-859.4131683132027,328.41790796562384,186122.64529058116,-291179.43515805097,606.5916771100572
-850.6554460285911,329.5978198068248,192734.16833667335,-288287.26364367397,605.1534267665947
-842.1308556633202,330.746841215516,199345.69138276554,-285461.8396735421,603.7427571865369
-833.8254448566122,331.8667922711935,205957.21442885773,-282699.3327588468,602.3581023747862
-825.7265251094367,332.95932956869717,212568.7374749499,-279996.25123379927,600.9980334040749
-817.822512853536,334.02596670707675,219180.2605210421,-277349.39975273755,599.6612410618118
-810.1028029512945,335.06809055639815,225791.7835671343,-274755.84597297135,598.3465225079766
-802.5576599365678,336.0869752545368,232403.30661322648,-272212.8918460944,597.0527697660946
-795.1781240776412,337.0837943059197,239014.82965931867,-269718.048767924,595.7789597506319
-787.9559298906265,338.059631084692,245626.35270541083,-267269.01597649016,594.5241455890144
-780.883435164267,339.0154879897902,252237.87575150302,-264863.66169785504,593.2874490399646
-773.9535589017812,339.9522944555687,258849.3987975952,-262500.0066276315,592.0680538446283
-767.1597268614248,340.8709139864851,265460.9218436874,-260176.20940676023,590.8651998748785
-760.4958222635405,341.7721505360695,272072.44488977955,-257890.55335043833,589.6781777234723
-753.9561483585379,342.6567533220703,278683.96793587174,-255641.4367913871,588.5063250188327
-747.5353840104023,343.5254226116838,285295.4909819639,-253427.36066617144,587.3490211166435
-741.2285545955606,344.3788134682461,291907.0140280561,-251246.92100576503,586.205684244875
-735.0310012551508,345.21753974103126,298518.5370741483,-249098.80058851826,585.0757680837814
-728.9383543089234,346.04217751267635,305130.0601202405,-246981.76177277518,583.9587588630961
-722.9465094332284,346.85326819000613,311741.5831663327,-244894.64006397288,582.8541727545988
-717.0516062634259,347.6513212818961,318353.1062124249,-242836.3383270125,581.7615535243759
-711.2500091289464,348.4368169016793,324964.62925851706,-240805.82156714812,580.6804704140634
-705.5382896695464,349.2102080264435,331576.15230460925,-238802.11221313814,579.61051622454
-699.913211115332,349.9719225411958,338187.67535070144,-236824.28584528802,578.5513055790734
-694.3717140420479,350.72236509217134,344799.1983967936,-234871.46731857045,577.50247334595
-688.9109034375929,351.46191877041497,351410.7214428858,-232942.8272374045,576.4636732031486
-683.528036936795,352.19094664406794,358022.244488978,-231037.5787442083,575.4345763298617
-678.2205140993221,352.9097931554931,364633.7675350702,-229154.97458851064,574.4148702114976
-672.9858666210733,353.61878539738905,371245.2905811623,-227294.304447483,573.4042575464574
-667.8217493826578,354.3182342803349,377856.8136272545,-225454.89247223386,572.4024552443548
-662.7259322500031,355.00843560273955,384468.3366733467,-223636.095037226,571.409193506564
-657.6962925520933,355.68967103288645,391079.8597194389,-221837.29867280432,570.4242149810336
-652.7308081694614,356.3622090116527,397691.3827655311,-220057.91816309944,569.447273984213
-647.8275511744959,357.0263055835271,404302.90581162326,-218297.394793536,568.4781357837305
-642.9846819712748,357.6822051626922,410914.42885771545,-216555.1947339441,567.5165759361709
-638.2004438882607,358.3301412402093,417525.95190380764,-214830.80754475453,566.5623796748903
-633.4731581822842,358.9703370376934,424137.4749498998,-213123.74479511738,565.615341343371
-628.8012194166082,359.60300611229536,430748.997995992,-211433.53878293955,564.6752638700514
-624.1830911797683,360.22835291730973,437360.5210420842,-209759.7413478781,563.7419582810237
-619.6173021152955,360.8465733222841,443972.0440881764,-208101.92276923216,562.815243247321
-615.1024422354624,361.4578550961133,450583.5671342686,-206459.67074149,561.8949446638696
-610.6371594948727,362.0623783562575,457195.09018036077,-204832.5894209985,560.9808952574557
-606.2201566020937,362.6603159869132,463806.61322645296,-203220.29853786266,560.0729342213182
-601.8501880496234,363.25183402869703,470418.13627254515,-201622.43256773747,559.170906874197
-597.5260573444027,363.83709204215313,477029.65931863734,-200038.63995869533,558.2746643418863
-593.2466144227438,364.4162434471821,483641.18236472947,-198468.58240879118,557.3840632595173
-589.0107532350152,364.9894358402944,490252.70541082165,-196911.9341903451,556.4989654929425
-584.8174094868414,365.5568112914133,496864.22845691384,-195368.38151734506,555.6192378777703
-580.6655585209588,366.1185066223087,503475.75150300603,-193837.62195128892,554.7447519739105
-576.5542125555243,366.67465377176154,510087.2745490982,-192319.36355902985,553.8753836657562
-572.4824218628168,367.2253796327008,516698.7975951904,-190813.32550362818,553.0110136075871
-568.4492686260551,367.7708068717283,523310.3206412826,-189319.23594233062,552.1515260642856
-564.4538681337468,368.31105376479996,529921.8436873748,-187836.83260267082,551.2968093357953
-560.4953665564042,368.84623449165736,536533.366733467,-186365.86209835956,550.4467554292578
-556.5729394982966,369.3764593265791,543144.8897795591,-184906.07952082535,549.6012598899348
-552.6857906338988,369.901834818036,549756.4128256514,-183457.2480542718,548.760221641789
-548.8331504231462,370.4224639580152,556367.9358717435,-182019.13861263992,547.9235428370658
-545.014274900042,370.9384463417292,562979.4589178357,-180591.5294969772,547.0911287142699
-541.2284445296146,371.44987831835886,569590.9819639279,-179174.20607183673,546.2628874639622
